model_id,source
SIDM00272,Sanger
SIDM00628,Sanger
SIDM00527,Sanger
SIDM00337,Broad
SIDM00336,Broad
SIDM00335,Sanger
SIDM00334,Sanger
SIDM00333,Broad
SIDM00332,Sanger
SIDM00386,Sanger
SIDM00387,Broad
SIDM00505,Sanger
SIDM00260,Sanger
SIDM00247,Broad
SIDM01265,Broad
SIDM00504,Sanger
SIDM00437,Broad
SIDM00222,Broad
SIDM00640,Broad
SIDM00657,Broad
SIDM00429,Broad
SIDM00578,Broad
SIDM00259,Sanger
SIDM00257,Sanger
SIDM00255,Sanger
SIDM00428,Broad
SIDM00254,Sanger
SIDM00253,Sanger
SIDM00244,Sanger
SIDM00156,Sanger
SIDM00654,Broad
SIDM00653,Broad
SIDM00651,Sanger
SIDM00649,Sanger
SIDM00645,Sanger
SIDM00734,Broad
SIDM00750,Sanger
SIDM00749,Broad
SIDM00748,Broad
SIDM00746,Broad
SIDM00745,Sanger
SIDM00743,Broad
SIDM00742,Broad
SIDM00741,Broad
SIDM00740,Broad
SIDM00738,Sanger
SIDM00771,Broad
SIDM00755,Broad
SIDM00763,Sanger
SIDM00762,Sanger
SIDM00759,Sanger
SIDM00758,Sanger
SIDM00753,Sanger
SIDM00715,Broad
SIDM00713,Broad
SIDM00708,Sanger
SIDM00706,Broad
SIDM00704,Broad
SIDM00703,Broad
SIDM00702,Broad
SIDM00716,Sanger
SIDM00926,Broad
SIDM00139,Sanger
SIDM00728,Broad
SIDM00138,Sanger
SIDM00722,Broad
SIDM00720,Broad
SIDM00493,Broad
SIDM00517,Sanger
SIDM00137,Sanger
SIDM00117,Sanger
SIDM00718,Sanger
SIDM00925,Broad
SIDM00965,Broad
SIDM00144,Broad
SIDM01130,Sanger
SIDM00116,Broad
SIDM01128,Broad
SIDM01125,Broad
SIDM01124,Sanger
SIDM01122,Broad
SIDM00779,Broad
SIDM01119,Broad
SIDM00778,Broad
SIDM01131,Broad
SIDM01150,Broad
SIDM01147,Sanger
SIDM00577,Sanger
SIDM00575,Sanger
SIDM00580,Broad
SIDM00572,Sanger
SIDM00444,Sanger
SIDM00481,Broad
SIDM00480,Sanger
SIDM00220,Sanger
SIDM00446,Sanger
SIDM00460,Sanger
SIDM00241,Sanger
SIDM00568,Broad
SIDM00478,Sanger
SIDM00477,Sanger
SIDM00567,Broad
SIDM00457,Sanger
SIDM00239,Broad
SIDM00566,Sanger
SIDM00565,Sanger
SIDM00474,Broad
SIDM01141,Sanger
SIDM00967,Sanger
SIDM00105,Sanger
SIDM00091,Sanger
SIDM00090,Sanger
SIDM00564,Sanger
SIDM00238,Sanger
SIDM00465,Sanger
SIDM00425,Broad
SIDM00363,Broad
SIDM01140,Broad
SIDM00455,Sanger
SIDM00453,Sanger
SIDM01139,Sanger
SIDM01138,Sanger
SIDM01137,Sanger
SIDM01136,Sanger
SIDM01135,Sanger
SIDM00237,Sanger
SIDM00270,Sanger
SIDM00044,Sanger
SIDM00155,Sanger
SIDM00043,Sanger
SIDM00115,Sanger
SIDM00473,Sanger
SIDM00472,Sanger
SIDM00451,Broad
SIDM00042,Sanger
SIDM00469,Sanger
SIDM00819,Sanger
SIDM00235,Broad
SIDM00359,Sanger
SIDM00847,Broad
SIDM00447,Broad
SIDM00358,Sanger
SIDM00354,Sanger
SIDM00353,Sanger
SIDM01090,Sanger
SIDM01088,Sanger
SIDM00352,Sanger
SIDM00415,Sanger
SIDM01087,Broad
SIDM00087,Sanger
SIDM00402,Broad
SIDM00401,Broad
SIDM00844,Broad
SIDM00351,Sanger
SIDM01082,Broad
SIDM01081,Sanger
SIDM01080,Sanger
SIDM00399,Sanger
SIDM00383,Sanger
SIDM00382,Sanger
SIDM00085,Broad
SIDM00084,Sanger
SIDM00083,Sanger
SIDM01078,Broad
SIDM00395,Broad
SIDM00394,Broad
SIDM01112,Sanger
SIDM01111,Broad
SIDM00393,Broad
SIDM00483,Sanger
SIDM01110,Broad
SIDM00082,Sanger
SIDM01106,Broad
SIDM00392,Broad
SIDM01103,Sanger
SIDM00379,Sanger
SIDM00391,Broad
SIDM01101,Sanger
SIDM01100,Sanger
SIDM01099,Sanger
SIDM01098,Sanger
SIDM00079,Broad
SIDM01097,Sanger
SIDM01113,Broad
SIDM00377,Broad
SIDM00375,Sanger
SIDM00095,Sanger
SIDM00373,Sanger
SIDM01146,Sanger
SIDM01145,Sanger
SIDM01180,Broad
SIDM01181,Broad
SIDM01199,Broad
SIDM01194,Broad
SIDM01196,Broad
SIDM00194,Sanger
SIDM00193,Sanger
SIDM01197,Sanger
SIDM00498,Sanger
SIDM00389,Sanger
SIDM00405,Broad
SIDM00423,Sanger
SIDM01188,Sanger
SIDM00371,Sanger
SIDM00421,Broad
SIDM01154,Broad
SIDM01155,Sanger
SIDM01156,Broad
SIDM00834,Broad
SIDM01163,Sanger
SIDM01165,Sanger
SIDM00837,Sanger
